Latitude,Longitude,City,Area,Address,Rooms,Floor/Total floors,Material,Total area,Live area,Kitchen,Toilet type,Price,Link,Seller,Comment
59.913618,30.281301,Санкт-Петербург,Адмиралтейский район,Рижский пр. 25,2,3/5,БЛ,60.3,27.7,18.8,Р,4600,http://www.bn.ru/detail/flats/1134843.html,Итака,1-22393 ПП.
59.914962,30.328346,Санкт-Петербург,Адмиралтейский район,Можайская ул. 31,2,3/5,СФК,52.0,30.0,9.0,Д,4700,http://www.bn.ru/detail/flats/1164215.html,АН СОФИЯ,"хор. план, окна-двор, торг"
59.913672,30.316308,Санкт-Петербург,Адмиралтейский район,4 Красноармейская ул. 4,2,1/5,К,51.0,34.3,6.0,С,4850,http://www.bn.ru/detail/flats/1172261.html,Агентство Аркада,Кап. Р. Метро 2 м. Док. гот
59.913036,30.273908,Санкт-Петербург,Адмиралтейский район,Рижский пр. 60,2,5/6,СФ,48.0,31.0,7.0,С,5000,http://www.bn.ru/detail/flats/1071905.html,Хочу,89657540839 Ирина ПП Про
59.911493,30.311251,Санкт-Петербург,Адмиралтейский район,7 Красноармейская ул. 20,2,1/6,СФК,56.0,33.0,8.0,Р,5000,http://www.bn.ru/detail/flats/1182676.html,ЦАН,"Натеж. пот, рем"
59.925263,30.289368,Санкт-Петербург,Адмиралтейский район,Декабристов ул. 37,2,1/4,СФК,52.0,31.1,8.5,Р,5100,http://www.bn.ru/detail/flats/1168576.html,Адвокат,"89213502844 ПП, отл. место"
59.913889,30.301226,Санкт-Петербург,Адмиралтейский район,9 Красноармейская ул. 15,2,4/4,К,54.7,34.2,7.9,Р,5300,http://www.bn.ru/detail/flats/473682.html,ЛАН,"вп, дг, двустор. балкон"
59.923392,30.287661,Санкт-Петербург,Адмиралтейский район,Мастерская ул. 5,2,1/4,СФК,64.2,28.1,10.7,Р,5400,http://www.bn.ru/detail/flats/1182678.html,Кристалл,9217935317 отдельн. вход
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 57,2,2/7,СФК,33.0,25.0,8.0,С,5400,http://www.bn.ru/detail/flats/1183815.html,частное,96493876307 ПП h-3. 2 рем
59.91816,30.280007,Санкт-Петербург,Адмиралтейский район,Римского-­Корсакова пр. 109,2,1/6,СФК,70.0,38.4,7.5,Р,5500,http://www.bn.ru/detail/flats/1134847.html,Невский Дом,"ВП, ХС, 3г"
59.920704,30.283655,Санкт-Петербург,Адмиралтейский район,Псковская ул. 6,2,1/4,СФ,51.8,31.4,8.9,Р,5500,http://www.bn.ru/detail/flats/1164216.html,Адвекс,ОС Ремон Торг 89516594937
59.925096,30.307604,Санкт-Петербург,Адмиралтейский район,Вознесенский пр. 31,2,2/4,СФ,56.2,30.0,12.0,Р,5500,http://www.bn.ru/detail/flats/1161086.html,АН Касабланка,ст/п 2х стор 89217503579
59.911796,30.31143,Санкт-Петербург,Адмиралтейский район,7 Красноармейская ул. 17,2,5/5,СФК,47.0,31.0,13.8,С,5550,http://www.bn.ru/detail/flats/890815.html,Регион недвижимость,ПП лифт евро меб бол3-х
59.911119,30.317988,Санкт-Петербург,Адмиралтейский район,Московский пр. 53,2,1/4,СФК,60.0,36.0,7.0,Р,5550,http://www.bn.ru/detail/flats/1183816.html,Агентство Митра,Железобетонные перекрытия
59.912919,30.293096,Санкт-Петербург,Адмиралтейский район,10 Красноармейская ул. 23,2,1/4,СФК,61.0,37.0,8.0,Р,5600,http://www.bn.ru/detail/flats/935943.html,ЮСОН,е/рем ок ул 89633131406
59.921362,30.278858,Санкт-Петербург,Адмиралтейский район,Пряжки р. наб. 46,2,2/5,К,63.5,40.3,11.0,Р,5700,http://www.bn.ru/detail/flats/1161093.html,Итака,"1-26247 ПП, вид, торг"
59.911439,30.275758,Санкт-Петербург,Адмиралтейский район,Старо-­Петергофский пр. 21,2,4/4,К,48.0,32.0,8.0,С,5800,http://www.bn.ru/detail/flats/1134852.html,частное,"3 л., стп, х/с"
59.916518,30.327376,Санкт-Петербург,Адмиралтейский район,Можайская ул. 22,2,2/5,СФК,48.0,29.0,8.0,Р,5970,http://www.bn.ru/detail/flats/1166865.html,Большой Проспект,"89218967846, ОС, ст/пак. Пр"
59.901409,30.275327,Санкт-Петербург,Адмиралтейский район,Старо-­Петергофский пр. 54,2,4/6,СТ,59.8,39.1,8.2,Р,6000,http://www.bn.ru/detail/flats/1175037.html,РУСКОЛ,9661218 ПП бол. 3 лет. Об
59.904947,30.317323,Санкт-Петербург,Адмиралтейский район,Московский пр. 73 к. 1,2,8/8,К,52.5,31.0,8.0,Р,6000,http://www.bn.ru/detail/flats/875567.html,Центр,"9030923998, Б, б3л, ТСЖ"
59.914565,30.301244,Санкт-Петербург,Адмиралтейский район,8 Красноармейская ул. 15,2,4/5,СФК,66.0,38.0,11.0,Р,6100,http://www.bn.ru/detail/flats/1168573.html,РУСКОЛ,"9419020, ХС, зел. дв, парковк"
59.912134,30.30516,Санкт-Петербург,Адмиралтейский район,11 Красноармейская ул. 4,2,3/5,СФК,55.7,32.6,8.6,Р,6200,http://www.bn.ru/detail/flats/1180051.html,Ассоль,ПП вид собор
59.917632,30.326226,Санкт-Петербург,Адмиралтейский район,Можайская ул. 8,2,3/4,СФК,60.1,34.0,11.5,Р,6370,http://www.bn.ru/detail/flats/1043811.html,Невский Дом,"ПП, зел. двор, ХС"
59.905339,30.291569,Санкт-Петербург,Адмиралтейский район,Шкапина ул. 9,2,4/12,К/М,67.0,34.0,12.0, ,6390,http://www.bn.ru/detail/flats/1182682.html,МЕГАПОЛИС,"2к. кв. ОП=67, 4 этаж из 1"
59.92161,30.284364,Санкт-Петербург,Адмиралтейский район,Союза Печатников ул. 30,2,2/3,СФК,64.0,39.0,10.0,Р,6400,http://www.bn.ru/detail/flats/1164218.html,Аг-во недвиж. СОЮЗ,"ПП, 2хст. лвп 3г"
59.923771,30.324905,Санкт-Петербург,Адмиралтейский район,Фонтанки р. наб. 98,2,4/5,СФК,60.0,26.0,20.0,С,6750,http://www.bn.ru/detail/flats/871094.html,ЦАН,"ПП, Центр, ХС"
59.922643,30.285819,Санкт-Петербург,Адмиралтейский район,Английский пр. 34,2,4/6,СФК,59.9,29.6,9.4,Р,7000,http://www.bn.ru/detail/flats/1178989.html,АЛЬТАИР,9924644 ВП отл. план м5л
59.923193,30.288999,Санкт-Петербург,Адмиралтейский район,Союза Печатников ул. 19,2,4/5,СФК,62.1,38.0,7.0,Р,7350,http://www.bn.ru/detail/flats/1134850.html,АРИН,"2хст, ЕР, б3х, ДГ, с кап. рем."
59.923374,30.289736,Санкт-Петербург,Адмиралтейский район,Союза Печатников ул. 17,2,3/5,СФК,74.7,41.3,11.5,Р,7490,http://www.bn.ru/detail/flats/1161097.html,Аг-во недвиж. СОЮЗ,"6424263, ОС, ВП"
59.917632,30.326226,Санкт-Петербург,Адмиралтейский район,Можайская ул. 8,2,4/4,СФК,62.0,40.0,11.0,Р,7500,http://www.bn.ru/detail/flats/1134835.html,Талан,"ПП. евро/рем, ок/ул."
59.925493,30.292593,Санкт-Петербург,Адмиралтейский район,Декабристов ул. 36,2,3/4,СФК,73.6,46.0,12.0,Р,7500,http://www.bn.ru/detail/flats/1144620.html,АН Панорама,"2-стор, окна-тих. дв, Театр"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Крюкова кан. наб. 11,2,2/3,СФК,62.1,39.2,6.6,Р,7700,http://www.bn.ru/detail/flats/1134831.html,Адвекс,"ХС, черд, идеал банка, 1прод"
59.933582,30.291955,Санкт-Петербург,Адмиралтейский район,Галерная / Английская,2,2/3,СФ,51.0,32.3,7.0,С,8000,http://www.bn.ru/detail/flats/1183814.html,Агентство Аркада,"ХС h потолка 4, 4м"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 122,2,2/5,СФК,60.0,30.3,12.5,Р,8300,http://www.bn.ru/detail/flats/1114470.html,Галактика,"9240166 Вид вода, собор."
59.925263,30.289368,Санкт-Петербург,Адмиралтейский район,Декабристов ул. 37,2,3/4,СФК,70.0,24.0,32.0,Р,8600,http://www.bn.ru/detail/flats/775664.html,Итака,"9584676, вп, хс, Мариинка"
59.905339,30.291569,Санкт-Петербург,Адмиралтейский район,Шкапина ул. 9-­11,2,6/14,К/М,56.1,29.0,13.4,Р,8650,http://www.bn.ru/detail/flats/1183818.html,ИП Егорова А.Р.,"ОС, ПП, нов. дом 2014 г."
59.912657,30.329208,Санкт-Петербург,Адмиралтейский район,Верейская ул. 47,2,5/7,РЕК,56.0,28.0,13.0,Р,8700,http://www.bn.ru/detail/flats/849696.html,частное,"ПП, лифт, ЗБ -4м2, евроремон"
59.926503,30.324636,Санкт-Петербург,Адмиралтейский район,Гороховая ул. 55,2,4/5,СФ,65.0,31.1,21.0,С,8800,http://www.bn.ru/detail/flats/1123159.html,Адвекс,"950-45-70, ремонт, срочно"
59.914732,30.312284,Санкт-Петербург,Адмиралтейский район,3 Красноармейская ул. 13,2,3/4,К,92.0,40.0,16.0,Р,9800,http://www.bn.ru/detail/flats/1111227.html,Агентство Митра,"Более 3лет, ХС, ст. пакеты."
59.932897,30.290104,Санкт-Петербург,Адмиралтейский район,Английская наб. 40,2,1/3,ПН,73.5,43.0,14.0,Р,9990,http://www.bn.ru/detail/flats/1176278.html,Магазин квартир,ПП вид-Нева евро
59.933956,30.299285,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 11,2,3/5,СФК,74.0,53.1,8.0,С,12000,http://www.bn.ru/detail/flats/1036319.html,Агентство Аркада,Вид на бульвар ПП Ремонт
59.917732,30.307172,Санкт-Петербург,Адмиралтейский район,Измайловский пр. 5,2,3/4,СФК,76.2,24.0,37.0,Р,12600,http://www.bn.ru/detail/flats/1134828.html,Колвэй,910-75-51 №007закрыт/двор
59.923577,30.298665,Санкт-Петербург,Адмиралтейский район,Римского-­Корсакова пр. 37,2,3/5,СФ,86.0,39.0,14.0,Р,12800,http://www.bn.ru/detail/flats/806940.html,Ваш Дом,"4615, ПП +79119325261"
59.915679,30.321671,Санкт-Петербург,Адмиралтейский район,Бронницкая ул. 14,2,5/5,СФ,100.0,55.0,16.0,С,14900,http://www.bn.ru/detail/flats/1178990.html,частное,Вконтакте: club 125176301
59.934416,30.300794,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 5,2,4/6,К/М,68.8,0.0,0.0,2,30994,http://www.bn.ru/detail/flats/1161089.html,МОНФЕРРАН,Отделка. Видовая.
59.934416,30.300794,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 5,2,2/6,К/М,156.2,0.0,0.0,2,36854,http://www.bn.ru/detail/flats/1180056.html,МОНФЕРРАН,Вид на Галерную ул.
59.928505,30.303983,Санкт-Петербург,Адмиралтейский район,Декабристов ул. 11,3,1/5,СФ,57.3,40.1,5.3,Д,4200,http://www.bn.ru/detail/flats/1176567.html,Адвекс,мт: 9239380
59.901784,30.316353,Санкт-Петербург,Адмиралтейский район,Красуцкого ул. 2,3,3/5,К,55.0,37.5,6.0,Р,5200,http://www.bn.ru/detail/flats/993652.html,частное,"ХС, Эрк, кладов., з. двор"
59.9201,30.303391,Санкт-Петербург,Адмиралтейский район,Кустарный пер. 4,3,1/3,СФК,91.0,0.0,13.0,Р,5900,http://www.bn.ru/detail/flats/1120176.html,Агентство Аркада,"торцевая, х/с, из, разд. с/у"
59.919139,30.291353,Санкт-Петербург,Адмиралтейский район,Садовая ул. 91,3,4/5,СФ,79.1,47.4,14.7,С,5950,http://www.bn.ru/detail/flats/1155301.html,АЛЕКСАНДР,"981-24-45 ХС, ДГ, ПП"
59.917145,30.288793,Санкт-Петербург,Адмиралтейский район,Лабутина ул. 30,3,4/4,К,62.5,38.5,6.0,С,5960,http://www.bn.ru/detail/flats/1136435.html,Итака,1-12621 Хор состояние
59.910356,30.31806,Санкт-Петербург,Адмиралтейский район,Московский пр. 59,3,2/4,СФК,66.1,43.7,5.7,Р,5990,http://www.bn.ru/detail/flats/1136438.html,Итака,1-24643 89218815642
59.91231,30.32857,Санкт-Петербург,Адмиралтейский район,Подольская ул. 50,3,3/14,К,77.0,52.0,10.0,Р,5999,http://www.bn.ru/detail/flats/1164578.html,Агентство Митра,+7 (911) 930-2807. Уютная
59.902059,30.273773,Санкт-Петербург,Адмиралтейский район,Нарвский пр. 24,3,5/6,СФ,70.0,49.0,7.0,Р,6090,http://www.bn.ru/detail/flats/1142689.html,частное,"ВП, ХС, по 2 окна арками"
59.913785,30.285936,Санкт-Петербург,Адмиралтейский район,Рижский пр. 19,3,2/4,СФК,63.8,36.6,8.4,Р,6363,http://www.bn.ru/detail/flats/1184054.html,АВЕНТИН,"ВП, ДГ. Все комм-ции-новые"
59.903133,30.273351,Санкт-Петербург,Адмиралтейский район,Нарвский пр. 23-­2,3,3/5,СФ,77.2,54.1,8.0,Р,6400,http://www.bn.ru/detail/flats/1164576.html,частное,"ПП, ОС, отл. место, +3л"
59.931129,30.287347,Санкт-Петербург,Адмиралтейский район,Галерная ул. 44,3,3/5,СФК,76.2,41.9,8.0,Р,6590,http://www.bn.ru/detail/flats/1072393.html,частное,отл. место и цена док. гот.
59.913014,30.316847,Санкт-Петербург,Адмиралтейский район,5 Красноармейская ул. 6,3,4/4,СФ,70.0,41.0,10.0,Р,6900,http://www.bn.ru/detail/flats/1136414.html,Русский Дом,"ВУ, Ок. -двор, БЛ, Ремонт."
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Обводного кан. наб. 147,3,1/4,СФК,82.0,32.7,10.3,Р,6990,http://www.bn.ru/detail/flats/1136440.html,ЦАН,"зел. двор, на эт. 2 кв"
59.92318,30.323396,Санкт-Петербург,Адмиралтейский район,Фонтанки р. наб. 104,3,2/4,СФК,74.3,49.0,16.0,С,7100,http://www.bn.ru/detail/flats/1090372.html,М16 - Недвижимость,ПП хс. В контактных данны
59.926882,30.316111,Санкт-Петербург,Адмиралтейский район,Сенная пл. 13,3,5/6,СФК,78.0,47.0,13.0,Р,7500,http://www.bn.ru/detail/flats/855735.html,Русский Дом,"Двор, ХС, светлая"
59.923383,30.292162,Санкт-Петербург,Адмиралтейский район,Лермонтовский пр. 8/10,3,2/6,СФ,89.7,63.9,6.6,Р,7500,http://www.bn.ru/detail/flats/1179261.html,частное,17 + 33. 3 + 13. 7
59.927369,30.282352,Санкт-Петербург,Адмиралтейский район,Английский пр. 2,3,4/4,СФ,82.0,51.5,10.8,Д,7500,http://www.bn.ru/detail/flats/1161521.html,Елисеевский квартал,89219503719 Дворец камин
59.923847,30.290401,Санкт-Петербург,Адмиралтейский район,Союза Печатников ул. 13/15,3,3/5,СФК,87.0,56.0,20.0, ,7600,http://www.bn.ru/detail/flats/1136449.html,Белые Ночи,"ПП, ремонт есть"
59.912928,30.327169,Санкт-Петербург,Адмиралтейский район,Подольская ул. 41,3,3/5,СФ,94.0,70.0,14.0,Р,7650,http://www.bn.ru/detail/flats/493964.html,Энгельса 32,"2х Стор, шикар планировка"
59.922377,30.327816,Санкт-Петербург,Адмиралтейский район,Б. Казачий пер. 11,3,1/3,СФК,94.2,57.6,17.4,Р,7900,http://www.bn.ru/detail/flats/1136417.html,Home estate,"Кирпич, с кап. ремонтом"
59.920686,30.285712,Санкт-Петербург,Адмиралтейский район,Римского-­Корсакова пр. 77,3,3/5,СФК,80.0,55.0,10.0,Р,8000,http://www.bn.ru/detail/flats/1145204.html,Центр,"(911) 241-6894, Б, вид-вод"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 146,3,1/6,СФ,86.5,51.5,10.5,Р,8000,http://www.bn.ru/detail/flats/1151907.html,ЮСОН,ПП под офис 9052137855
59.92745,30.307882,Санкт-Петербург,Адмиралтейский район,Вознесенский пр. 21,3,4/4,СФК,86.2,44.0,19.0,С,8480,http://www.bn.ru/detail/flats/1136423.html,Ваш Дом,"3162, 9051277 Центр."
59.910018,30.318033,Санкт-Петербург,Адмиралтейский район,Московский пр. 61,3,5/6,СФК,87.0,61.2,12.0,Р,8490,http://www.bn.ru/detail/flats/1184053.html,М16 - Недвижимость,Двухсторонняя квартира с
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 80,3,2/4,СФК,76.4,45.2,9.8,Р,8900,http://www.bn.ru/detail/flats/1180321.html,Итака,1-27122 ПП срочно торг
59.929145,30.30269,Санкт-Петербург,Адмиралтейский район,Пирогова пер. 15,3,3/3,СФК,83.5,52.0,10.0,Р,9000,http://www.bn.ru/detail/flats/1145202.html,ТДН, 
59.921818,30.307568,Санкт-Петербург,Адмиралтейский район,Вознесенский пр. 47,3,5/5,К,97.3,52.8,9.7,Р,9800,http://www.bn.ru/detail/flats/1142683.html,ГЖА,9219576188 ок-ул/дв стоян
59.92626,30.295009,Санкт-Петербург,Адмиралтейский район,Декабристов ул.,3,3/6,К,63.0,46.0,6.0,Р,9900,http://www.bn.ru/detail/flats/1172560.html,частное,ПП 2-стор видовая Б
59.925236,30.318222,Санкт-Петербург,Адмиралтейский район,Московский пр. 4 к. 2,3,2/7,К,78.0,45.2,8.0,Р,10000,http://www.bn.ru/detail/flats/1184052.html,Аг-во недвиж. СОЮЗ,"Квартира с шикарным, доро"
59.925633,30.317162,Санкт-Петербург,Адмиралтейский район,Московский пр. 1/2А,3,7/7,СФ,70.4,40.4,8.6,Р,10490,http://www.bn.ru/detail/flats/1053956.html,Итака,1-22595 ПП мансарда ВИД
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 85/9,3,5/5,К,104.0,71.5,9.6,Р,12500,http://www.bn.ru/detail/flats/1026910.html,Экотон,"н. дом 1997 г. п., лег. ВП"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 93,3,4/5,СФК,104.0,60.0,13.0,Р,13300,http://www.bn.ru/detail/flats/614015.html,Итака,"153477 ОС, ж/б перекр."
59.930467,30.286835,Санкт-Петербург,Адмиралтейский район,Галерная ул. 50,3,4/4,СФ,82.0,52.0,12.6,С,13500,http://www.bn.ru/detail/flats/1176565.html,РОСЛЕКС,"ВП, евро"
59.927563,30.317719,Санкт-Петербург,Адмиралтейский район,Сенная пл. 7,3,3/5,СФК,110.0,67.3,11.0,2,15000,http://www.bn.ru/detail/flats/1180325.html,ГЛАВЖИЛОБМЕН,9831432 уникальная кварти
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Грибоедова кан. наб. 146,3,6/7,СФ,117.0,58.0,21.5,2,15000,http://www.bn.ru/detail/flats/1172558.html,Агентство Митра,"ПП, более 3лет, ХС, видовая."
59.934673,30.296096,Санкт-Петербург,Адмиралтейский район,Английская наб. 18,3,2/4,СФ,101.0,59.0,12.0,Р,17400,http://www.bn.ru/detail/flats/637027.html,ГЦН,"ВИД, 2ст 918-52-57 пп"
59.931567,30.294039,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 6,3,2/4,К,101.0,0.0,45.0,С,20000,http://www.bn.ru/detail/flats/1155298.html,М16 - Недвижимость,Предлагается к продаже ун
59.921795,30.284858,Санкт-Петербург,Адмиралтейский район,Союза Печатников ул. 28,3,2/6,РЕК,165.0,93.0,27.0,3,24500,http://www.bn.ru/detail/flats/1164582.html,Арго - Недвижимость,ПП рек-ция 2009 2-хстор
59.922282,30.332056,Санкт-Петербург,Адмиралтейский район,Загородный пр. 39,3,3/6,К/М,119.0,67.0,20.0,2,25000,http://www.bn.ru/detail/flats/1120174.html,Агентство Митра,"ПП, ОС, 2с/у, заст. лоджия."
59.934416,30.300794,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 5,3,2/6,К/М,127.1,0.0,0.0,2,32500,http://www.bn.ru/detail/flats/1155295.html,МОНФЕРРАН,С кухней- гостинной
59.933275,30.304855,Санкт-Петербург,Адмиралтейский район,Исаакиевская пл. 7,3,5/5,СФК,111.5,76.0,16.0,С,39999,http://www.bn.ru/detail/flats/1153217.html,СТАТУС,Уникальное предложение
59.934416,30.300794,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 5,3,3/6,К/М,149.1,0.0,0.0,2,46914,http://www.bn.ru/detail/flats/1155296.html,МОНФЕРРАН,"сдан, 640-80-08.ru"
59.934416,30.300794,Санкт-Петербург,Адмиралтейский район,Конногвардейский бул. 5,3,3/6,К/М,169.7,0.0,0.0,2,56211,http://www.bn.ru/detail/flats/1155297.html,МОНФЕРРАН,"сдан, 640-80-08.ru"
59.939095,30.315868,Санкт-Петербург,Адмиралтейский район,Адмиралтейск. кан. наб. 29,3,4/4,СФ,280.0,0.0,100.0,3,140000,http://www.bn.ru/detail/flats/1053953.html,М16 - Недвижимость,"89052321616 Пентхаус, Вид"
59.919978,30.304424,Санкт-Петербург,Адмиралтейский район,Никольский пер. 7,4,4/4,СФ,72.0,55.0,15.5, ,5600,http://www.bn.ru/detail/flats/1175613.html,РЦН,"2х ст.,. +79523698017"
